4,12
12,4
12,4
12,4
4,12
4,12
4,12
4,14
12,4
4,12
11,4
4,12
4,12
12,4
12,4
4,14
12,4
4,12
4,12
12,4
4,12
12,4
4,12
12,4
12,4
6,4
4,12
4,12
4,14
11,4
11,4
12,4
4,12
12,4
4,12
4,12
14,4
4,12
4,12
12,4
4,12
14,4
4,11
4,11
4,11
4,12
4,12
4,12
12,4
12,4
4,12
4,12
12,4
14,4
4,14
4,14
14,4
12,4
12,4
12,4
4,12
12,4
4,14
4,11
14,4
4,12
4,12
4,14
7,4
4,12
12,4
4,12
11,4
4,14
4,12
14,4
4,12
4,12
12,4
4,12
12,4
4,14
12,4
12,4
12,4
4,12
12,4
4,12
12,4
4,11
12,4
4,12
12,4
12,4
4,12
12,4
12,4
12,4
12,4
4,14
4,11
4,14
4,14
4,12
12,4
4,12
11,4
12,4
12,4
4,12
4,14
4,14
4,12
14,4
4,12
12,4
14,4
4,12
3,4
4,12
12,4
4,12
4,14
4,12
4,14
12,4
11,4
4,12
12,4
12,4
4,12
4,11
12,4
4,11
12,4
4,12
12,4
4,14
4,12
12,4
14,4
4,11
14,4
4,11
4,12
4,12
4,14
4,12
11,4
4,11
12,4
4,12
12,4
4,12
4,12
4,14
4,11
4,14
14,4
14,4
12,4
11,4
4,12
4,12
11,4
4,12
4,12
4,14
12,4
14,4
4,12
4,12
4,11
4,11
12,4
4,14
11,4
4,12
12,4
4,12
14,4
12,4
14,4
4,12
12,4
14,4
12,4
11,4
4,12
12,4
4,12
4,12
14,4
4,12
12,4
4,12
12,4
12,4
12,4
4,14
14,4
11,4
12,4
4,12
4,11
12,4
11,4
4,12
12,4
4,11
12,4
4,12
4,11
12,4
4,14
4,11
4,11
4,12
12,4
12,4
4,12
12,4
4,14
12,4
4,12
11,4
4,12
4,12
4,12
12,4
4,12
4,12
4,14
12,4
12,4
4,12
14,4
4,14
4,12
4,12
4,12
4,12
12,4
12,4
4,14
4,12
12,4
4,12
12,4
12,4
12,4
4,12
4,12
11,4
12,4
12,4
4,11
4,12
4,12
12,4
4,11
4,12
4,12
4,12
12,4
4,14
12,4
12,4
4,14
4,12
14,4
4,12
4,12
4,12
14,4
12,4
4,12
4,12
14,4
4,12
4,12
4,12
12,4
4,14
4,12
12,4
14,4
4,12
14,4
4,11
4,12
4,14
12,4
12,4
4,12
12,4
14,4
4,12
4,12
12,4
12,4
4,12
4,14
4,12
4,12
4,12
4,14
4,11
14,4
12,4
12,4
12,4
4,11
12,4
4,14
4,14
4,12
11,4
12,4
11,4
4,12
4,11
4,12
11,4
12,4
12,4
4,11
4,12
4,12
4,14
11,4
4,14
11,4
4,14
12,4
11,4
4,12
4,14
4,12
12,4
4,11
14,4
11,4
11,4
4,12
4,12
4,11
14,4
11,4
12,4
4,12
14,4
12,4
4,12
4,11
12,4
4,12
4,11
12,4
12,4
4,12
12,4
4,12
4,11
12,4
4,14
4,11
4,12
4,12
12,4
4,12
12,4
4,12
4,14
12,4
12,4
4,12
4,12
4,12
14,4
12,4
14,4
14,4
4,12
4,12
12,4
12,4
4,12
11,4
4,11
12,4
12,4
4,12
12,4
4,11
4,11
4,12
12,4
4,11
12,4
4,11
4,14
14,4
4,11
4,12
4,12
4,12
4,12
14,4
11,4
12,4
4,11
12,4
4,12
11,4
4,12
12,4
4,14
12,4
12,4
4,11
4,14
4,12
12,4
14,4
4,14
4,12
12,4
4,11
4,12
12,4
4,12
4,12
4,12
12,4
4,12
4,12
4,11
14,4
4,12
4,12
12,4
4,14
4,14
4,12
