120,32,61,161,145
111,106,222,28,81
59,13,555,222,8
421,119,35,267,90
13,164,117,64,145
23,79,238,53,202
67,82,238,555,19
90,28,82,51,111
498,412,41,34,106
64,8,412,81,5
223,59,45,81,50
119,122,141,45,161
131,91,222,36,44
143,45,157,67,24
412,21,32,238,10
81,30,17,86,77
99,15,4,48,8
59,81,55,37,102
267,75,80,96,103
103,86,201,107,236
111,115,202,64,120
90,79,78,68,110
92,80,163,203,105
55,15,89,64,150
15,143,29,24,101
35,81,350,246,59
103,75,267,141,145
86,432,143,30,245
86,202,157,54,37
119,114,25,141,518
143,202,27,113,517
81,27,34,11,63
161,246,4,145,23
223,21,238,30,6
141,145,63,101,33
54,22,157,412,32
64,67,412,122,518
27,29,4,84,105
19,75,17,45,99
134,245,67,254,143
142,113,23,119,40
117,4,222,39,11
62,101,145,84,555
223,53,111,81,29
54,222,17,25,32
86,33,202,161,131
240,30,350,29,517
91,14,121,81,143
84,5,63,17,222
81,412,223,157,203
141,131,58,223,236
22,107,25,136,126
420,5,25,22,103
240,59,53,21,74
99,64,145,63,122
9,517,111,119,157
22,420,63,201,17
90,80,41,350,81
412,50,107,27,236
32,222,82,58,555
18,238,432,75,121
81,120,350,517,58
25,84,78,246,29
45,51,420,24,238
105,41,24,555,202
24,145,9,117,245
161,236,101,76,98
157,106,267,38,67
518,222,25,32,24
555,432,51,223,56
103,222,98,223,120
517,81,54,17,99
35,81,92,12,90
24,517,11,96,117
432,238,141,517,202
51,53,122,157,254
38,555,18,39,28
161,14,202,518,24
18,55,40,60,517
141,29,8,267,39
91,75,120,202,111
6,1,37,62,51
58,62,161,145,412
141,143,133,55,67
1,161,101,157,106
201,77,41,35,119
34,202,86,59,267
19,86,81,238,99
61,39,202,113,43
105,202,111,32,126
11,92,101,142,51
29,99,55,41,107
21,517,202,33,103
67,497,154,142,126
99,107,22,350,420
115,43,145,164,141
412,222,11,103,39
498,141,89,91,245
131,22,8,25,64
53,91,81,56,17
28,145,111,23,163
145,121,63,92,45
103,518,83,67,59
202,267,157,24,64
111,15,103,27,121
59,41,54,25,202
111,223,51,121,517
131,31,29,429,412
412,99,119,427,13
254,67,37,23,161
518,102,37,222,27
15,99,20,80,82
56,51,555,61,32
117,20,18,45,8
154,223,143,202,81
236,8,246,107,63
77,24,7,99,81
92,30,238,40,67
11,30,555,81,150
121,43,81,105,75
103,75,202,121,555
238,267,24,107,110
75,119,102,99,91
350,82,22,78,96
157,254,516,83,61
240,103,14,82,22
39,99,107,15,75
18,154,74,43,84
267,122,107,202,55
7,11,412,39,29
62,13,432,498,24
236,78,117,30,41
50,45,32,78,81
59,29,117,8,85
22,113,90,24,63
412,84,20,104,420
119,432,32,23,103
238,11,84,81,89
90,83,246,63,15
202,25,24,267,121
99,202,150,141,17
67,238,64,20,43
45,120,21,4,25
21,555,56,157,1
236,201,427,103,133
99,412,59,236,2
55,246,58,40,81
120,99,555,202,24
81,122,6,30,25
114,102,105,350,51
58,222,76,25,115
55,24,350,236,30
238,55,14,53,202
105,141,6,143,498
246,236,30,86,25
92,25,127,120,51
246,48,518,43,22
555,55,81,24,58
222,64,13,555,101
141,67,555,134,58
45,267,60,58,81
32,56,145,43,25
555,267,18,105,141
86,21,25,105,24
412,145,17,42,35
114,201,29,43,51
145,245,89,36,110
555,24,236,99,23
